timestamp,load,ram_usage
2479932027,0.293984,0.6413717
2480934002,0.427896,0.64163554
2481935002,0.418002,0.64163554
2482936515,0.405992,0.64163554
2483937143,0.408219,0.64163554
2484938627,0.44460002,0.64163554
2485939240,0.438012,0.64163554
2486940511,0.452047,0.64163554
2487941696,0.453188,0.64163554
2488941983,0.44103602,0.64163554
2489943710,0.437648,0.64163554
2490945214,0.449463,0.64163554
2491946159,0.455521,0.64163554
2492948119,0.446017,0.64163554
2493948983,0.446931,0.64163554
2494950047,0.443721,0.64163554
2495952201,0.42972,0.64163554
2496953604,0.444383,0.64163554
2497954007,0.429804,0.64163554
2498955238,0.443546,0.64163554
2499956884,0.453148,0.64163554
2500960279,0.450074,0.64163554
2501961168,0.437275,0.64163554
2502961983,0.443766,0.64163554
2503966093,0.45101,0.64163554
2504966154,0.452442,0.64163554
2505967095,0.440236,0.64163554
2506968109,0.44181,0.64163554
2507968983,0.448219,0.64163554
2508969983,0.438901,0.64163554
2509970983,0.439719,0.64163554
2510973097,0.436619,0.64163554
2511973983,0.449188,0.64163554
2512974742,0.441479,0.64163554
2513975768,0.424184,0.64163554
2514977016,0.401677,0.64163554
2515978016,0.393713,0.64163554
2516978983,0.40675,0.64163554
2517981183,0.414992,0.64163554
2518984413,0.414672,0.64163554
2519985081,0.450278,0.64163554
2520986155,0.457393,0.64163554
2521986036,0.417844,0.64163554
2522987307,0.419106,0.64163554
2523991731,0.435828,0.64163554
2524993193,0.441042,0.64163554
2525993983,0.453461,0.64163554
2526994983,0.451533,0.64163554
2527997701,0.451924,0.64163554
2528998011,0.438707,0.64163554
2529999103,0.431663,0.64163554
2531000024,0.413739,0.64163554
2532000983,0.424025,0.64163554
2533002036,0.416751,0.64163554
2534003273,0.424102,0.64163554
2535003816,0.414646,0.64163554
2536006510,0.410574,0.64163554
2537008256,0.416232,0.64163554
2538009036,0.420595,0.64163554
2539009983,0.42568702,0.64163554
2540010983,0.404849,0.64163554
2541012267,0.411391,0.64163554
2542014839,0.413443,0.64163554
2543015898,0.43011,0.64163554
2544020572,0.439395,0.64163554
2545022047,0.449305,0.64163554
2546023250,0.454827,0.64163554
2547024616,0.442767,0.64163554
2548028707,0.467904,0.64163554
2549032030,0.437747,0.64163554
2550033266,0.444827,0.64163554
2551033983,0.4459,0.64163554
2552035126,0.422892,0.64163554
2553036550,0.40701,0.64163554
2554036004,0.424011,0.64163554
2555037036,0.418649,0.64163554
2556037983,0.410938,0.64163554
2557038983,0.415689,0.64163554
2558048809,0.39941,0.64163554
2559050042,0.411989,0.64163554
2560051151,0.407721,0.64163554
2561053119,0.414615,0.64163554
2562054866,0.404584,0.64163554
2563056830,0.42799,0.64163554
2564057066,0.406775,0.64163554
2565057984,0.416525,0.64163554
2566059526,0.418617,0.64163554
2567061038,0.424492,0.64150363
