timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
2479873009,47,0,130,123,96,71,59
2480831008,47,0,129,125,93,74,58
2481833072,47,0,130,124,88,76,56
2482872953,47,0,140,140,97,76,58
2483792175,47,0,157,155,91,73,54
2484829329,47,0,162,159,100,72,56
2485770163,47,0,162,160,96,76,64
2486783116,47,0,158,156,95,75,54
2487828143,47,0,157,153,99,73,59
2488879005,47,0,153,151,93,72,53
2489787021,47,0,146,146,93,72,61
2490855119,47,0,127,117,97,75,54
2491871364,47,0,119,113,96,68,54
2492783203,47,0,122,113,95,64,56
2493840038,47,0,117,111,91,73,52
2494875123,47,0,113,109,99,69,57
2495833107,47,0,113,113,100,71,60
2496831016,47,0,114,113,95,75,62
2497773032,47,0,115,113,96,69,57
2498793339,47,0,115,113,93,71,66
2499837189,47,0,106,102,99,76,49
2500876037,47,0,105,100,89,74,58
2501798012,47,0,105,101,99,75,50
2502830430,47,0,106,102,99,70,50
2503883146,47,0,116,115,83,76,60
2504805987,47,0,132,133,92,71,56
2505879011,47,0,126,122,92,76,55
2506884033,47,0,119,112,93,70,55
2507778095,47,0,126,120,93,62,63
2508835140,47,0,126,122,95,76,54
2509877795,47,0,127,124,100,64,54
2510804099,47,0,127,124,94,73,50
2511834012,47,0,128,125,97,72,60
2512876070,47,0,129,125,97,60,62
2513799009,47,0,130,127,93,73,47
2514841336,47,0,130,127,100,71,60
2515788488,47,0,130,127,95,71,58
2516787012,47,0,130,127,95,73,57
2517833009,47,0,131,127,100,70,59
2518879346,47,0,130,127,100,70,57
2519788621,47,0,129,126,94,74,66
2520834431,47,0,129,126,99,73,55
2521769055,47,0,129,126,96,74,54
2522801019,47,0,129,127,93,66,52
2523843131,47,0,128,124,98,71,52
2524885083,47,0,117,112,90,71,52
2525920540,47,0,110,109,92,71,53
2526842157,48,0,104,96,91,72,50
2527883011,48,0,105,104,93,66,58
2528800103,48,0,109,108,97,67,68
2529827211,48,0,110,103,94,73,51
2530776105,48,0,108,104,94,76,59
2531837300,48,0,110,104,90,70,60
2532828175,48,0,112,107,100,73,60
2533787137,48,0,118,118,94,72,64
2534797014,48,0,123,121,95,73,72
2535840555,48,0,126,121,92,71,49
2536886009,48,0,127,124,93,73,58
2537789274,48,0,128,125,95,72,53
2538840126,48,0,131,128,98,74,54
2539880802,48,0,130,126,90,73,50
2540787310,48,0,132,126,92,72,54
2541837828,48,0,141,141,90,70,49
2542873275,48,0,152,150,100,66,62
2543807256,48,0,156,153,92,72,58
2544830040,48,0,157,153,93,70,52
2545878116,48,0,156,153,93,67,50
2546798155,48,0,148,141,92,71,54
2547841322,48,0,144,139,96,71,58
2548770014,48,0,141,140,97,72,57
2549809378,48,0,143,139,95,70,62
2550832124,48,0,144,140,100,72,52
2551786317,48,0,145,141,94,73,61
2552790019,48,0,145,141,95,73,58
2553850299,48,0,146,142,85,73,56
2554886048,48,0,147,144,83,73,58
2555812042,48,0,151,148,93,73,49
2556849086,48,0,149,149,93,69,60
2557780051,48,0,147,143,96,75,51
2558838049,48,0,162,161,92,73,58
2559832050,48,0,165,163,98,72,47
2560874106,48,0,165,163,100,71,55
2561800109,48,0,164,161,93,66,52
2562844964,48,0,158,155,100,77,56
2563787106,48,0,149,145,96,75,64
2564807008,48,0,135,129,100,67,56
2565845009,48,0,131,126,90,74,59
2566764532,48,0,131,125,98,76,53
